CITYGENINS,01-01-2019,13.5,13.6,13.1,13.4,133570,,
CNATEX,01-01-2019,4.2,4.3,4,4.3,517870,,
CONFIDCEM,01-01-2019,182.8,184,179.7,183.5,118079,,
CONTININS,01-01-2019,19.2,20.1,19.2,19.9,120849,,
CVOPRL,01-01-2019,156,159.5,155,158.3,38593,,
DACCADYE,01-01-2019,5.3,5.5,5.1,5.3,95254,,
DAFODILCOM,01-01-2019,44,45.9,44,45.7,917443,,
DBH,01-01-2019,130.4,132,130,130.3,1946,,
DBH1STMF,01-01-2019,8,8,8,8,1506,,
DELTALIFE,01-01-2019,108.6,110.1,107.1,107.9,43719,,
DELTASPINN,01-01-2019,6.3,6.5,6.3,6.3,439081,,
DESCO,01-01-2019,40.3,40.6,40.1,40.3,22038,,
DESHBANDHU,01-01-2019,13.5,13.9,13.3,13.7,156293,,
DHAKABANK,01-01-2019,14.4,14.5,14.3,14.5,815387,,
DHAKAINS,01-01-2019,21.3,21.3,20.4,20.7,19080,,
DOREENPWR,01-01-2019,80.5,85.5,80.5,84.8,336033,,
DSHGARME,01-01-2019,211,213.5,208.8,210.2,25193,,
DSSL,01-01-2019,20.8,21.4,20.7,21.2,1716321,,
DULAMIACOT,01-01-2019,33.5,34,32,33.3,1603,,
DUTCHBANGL,01-01-2019,145.5,146.8,143.3,146,229354,,
EASTERNINS,01-01-2019,27.5,28,26.7,27.7,15820,,
EASTLAND,01-01-2019,19.4,20.3,19.4,20.2,59234,,
EASTRNLUB,01-01-2019,1347.1,1359,1346,1355.3,3220,,
EBL,01-01-2019,37.8,37.8,36.3,36.4,85650,,
EBL1STMF,01-01-2019,8,8,7.2,7.7,3706,,
EBLNRBMF,01-01-2019,4.6,4.7,4.6,4.7,21083,,
ECABLES,01-01-2019,239.8,239.8,230.7,232.7,10103,,
EHL,01-01-2019,46.4,47.2,46.4,47.1,73959,,
EMERALDOIL,01-01-2019,15.5,16.6,15.4,16.6,314327,,
ENVOYTEX,01-01-2019,36,36.8,36,36.6,48004,,
ETL,01-01-2019,12.9,13,12.6,12.9,173104,,
EXIM1STMF,01-01-2019,5.1,5.2,5,5.1,16909,,
EXIMBANK,01-01-2019,11.9,12.3,11.7,12.2,2380074,,
FAMILYTEX,01-01-2019,4.9,5.1,4.8,5,1001601,,
FARCHEM,01-01-2019,15.5,15.7,15.3,15.6,1338731,,
FAREASTFIN,01-01-2019,5.5,5.8,5.5,5.8,265922,,
FAREASTLIF,01-01-2019,63.5,64,62.6,63,112995,,
FASFIN,01-01-2019,13.8,14.1,13.5,14,3561265,,
FBFIF,01-01-2019,4.2,4.4,4.2,4.3,305470,,
FEDERALINS,01-01-2019,9.8,9.8,9.7,9.7,118037,,
FEKDIL,01-01-2019,15.1,15.4,14.9,15.3,736794,,
FINEFOODS,01-01-2019,42.1,42.4,40.8,41.5,590495,,
FIRSTFIN,01-01-2019,5.9,5.9,5.6,5.7,152000,,
FIRSTSBANK,01-01-2019,10.9,11,10.7,10.9,1232611,,
FORTUNE,01-01-2019,31.5,32,31.2,31.8,968291,,
FUWANGCER,01-01-2019,13.4,13.7,13.2,13.6,478265,,
FUWANGFOOD,01-01-2019,15.3,15.7,15,15.6,1224172,,
GBBPOWER,01-01-2019,10.8,11.6,10.8,11.6,247113,,
GEMINISEA,01-01-2019,317,321,314,316.9,25461,,
GENNEXT,01-01-2019,6.4,6.5,6.3,6.5,1394419,,
GHAIL,01-01-2019,29.3,30.7,29.3,30.2,377830,,
GHCL,01-01-2019,38.3,39.7,38.2,39.3,23842,,
GLAXOSMITH,01-01-2019,1450,1450,1430,1432.9,2816,,
GLOBALINS,01-01-2019,13.8,14,13.6,13.9,60166,,
GOLDENSON,01-01-2019,11.2,11.7,11,11.6,308102,,
GP,01-01-2019,370,376,363,368.3,94877,,
GPHISPAT,01-01-2019,35,36.5,34.6,35.9,286242,,
GQBALLPEN,01-01-2019,75.7,77.5,75.6,76.5,46975,,
